column1,column2,columns3,column4,column5,columns6
32,0.001,relu,12,0.1681993007659912,"[0.08188068121671677, 0.08187831193208694, 0.08178706467151642, 0.08164840191602707, 0.08153460174798965, 0.08139906078577042, 0.08126498758792877, 0.08116666972637177, 0.0810968354344368, 0.08102376759052277, 0.08096897602081299, 0.08094500005245209, 0.08087892085313797, 0.0808485746383667, 0.08082647621631622, 0.08083536475896835, 0.08079659193754196, 0.0808042511343956, 0.08080621808767319, 0.08075843751430511, 0.08079715818166733, 0.0807536318898201, 0.08073447644710541, 0.0807032361626625, 0.08067196607589722, 0.08071734011173248, 0.08064878731966019, 0.08063839375972748, 0.08066416531801224, 0.08059792220592499, 0.0805944949388504, 0.08059892058372498, 0.08059240132570267, 0.08057835698127747, 0.08058735728263855, 0.08058580011129379, 0.08057563006877899, 0.08059149980545044, 0.08062192052602768, 0.08061006665229797, 0.0806310623884201, 0.08060232549905777, 0.08061191439628601, 0.08062070608139038, 0.08059605211019516, 0.08061765879392624, 0.08057724684476852, 0.08060327172279358, 0.0805727019906044, 0.08056006580591202, 0.08055879175662994, 0.08060500025749207, 0.08058694750070572, 0.08062727004289627, 0.080638088285923, 0.08067160844802856, 0.08069364726543427, 0.08070849627256393, 0.0807189792394638, 0.08074940741062164, 0.08074049651622772, 0.08076991885900497, 0.08073265105485916, 0.08083237707614899, 0.08074727654457092, 0.08085408061742783, 0.08085723966360092, 0.08085688948631287, 0.08086563646793365, 0.08071830868721008, 0.08063196390867233, 0.08061613142490387, 0.08062060922384262, 0.08063919097185135, 0.0805567279458046, 0.080597423017025, 0.08063828945159912, 0.08054517954587936, 0.08053286373615265, 0.08059260994195938, 0.08057142049074173, 0.08055410534143448, 0.08058451116085052, 0.08055157959461212, 0.08051567524671555, 0.08048615604639053, 0.08052068948745728, 0.08050554990768433, 0.08052151650190353, 0.08054187148809433, 0.08062535524368286, 0.08054861426353455, 0.08059287816286087, 0.08062438666820526, 0.08063158392906189, 0.08063366264104843, 0.08061349391937256, 0.08059527724981308, 0.08062458783388138, 0.08053256571292877]"
32,0.001,relu,24,0.1623903214931488,"[0.167875275015831, 0.1672288030385971, 0.16670863330364227, 0.16620869934558868, 0.16564379632472992, 0.16525840759277344, 0.16463258862495422, 0.16395528614521027, 0.16331811249256134, 0.16279716789722443, 0.16211038827896118, 0.16150876879692078, 0.16099309921264648, 0.16045738756656647, 0.1598093956708908, 0.15924103558063507, 0.15861350297927856, 0.1584792286157608, 0.15785442292690277, 0.15768995881080627, 0.15708304941654205, 0.15669487416744232, 0.15628816187381744, 0.1560298502445221, 0.15565171837806702, 0.1555698961019516, 0.15504559874534607, 0.15414023399353027, 0.15375088155269623, 0.153145432472229, 0.15279315412044525, 0.15202727913856506, 0.15166695415973663, 0.15111775696277618, 0.15057358145713806, 0.1500084549188614, 0.14945821464061737, 0.14883491396903992, 0.14867381751537323, 0.14834003150463104, 0.14760702848434448, 0.14741316437721252, 0.14693579077720642, 0.14639005064964294, 0.14568191766738892, 0.14554522931575775, 0.14557752013206482, 0.1446399837732315, 0.1442752629518509, 0.14346098899841309, 0.14352968335151672, 0.1429445445537567, 0.14245250821113586, 0.14189431071281433, 0.1413617879152298, 0.14083167910575867, 0.1405760496854782, 0.14004240930080414, 0.1396287977695465, 0.13905911147594452, 0.13856051862239838, 0.13796694576740265, 0.13744518160820007, 0.13694921135902405, 0.1364629566669464, 0.13594068586826324, 0.13529770076274872, 0.13492156565189362, 0.13431158661842346, 0.1340927630662918, 0.13347847759723663, 0.13341224193572998, 0.13278134167194366, 0.1324503868818283, 0.13209351897239685, 0.13212460279464722, 0.1313590705394745, 0.13169027864933014, 0.13074803352355957, 0.13093674182891846, 0.13020671904087067, 0.13030868768692017, 0.12973518669605255, 0.1297859102487564, 0.12951374053955078, 0.1295626163482666, 0.12901511788368225, 0.12926875054836273, 0.1287967413663864, 0.12857182323932648, 0.12830254435539246, 0.12832581996917725, 0.12788330018520355, 0.12774121761322021, 0.12762092053890228, 0.12757179141044617, 0.1272573173046112, 0.1273570954799652, 0.12685547769069672, 0.1268564760684967]"
32,0.001,relu,36,0.15901781618595123,"[0.15734705328941345, 0.15736839175224304, 0.15740910172462463, 0.1574091762304306, 0.157459557056427, 0.1574925035238266, 0.15740545094013214, 0.15739168226718903, 0.15725234150886536, 0.15715983510017395, 0.15700843930244446, 0.15683652460575104, 0.1566755473613739, 0.15639840066432953, 0.15612956881523132, 0.15591338276863098, 0.15562587976455688, 0.15535391867160797, 0.15516763925552368, 0.1549052745103836, 0.15466895699501038, 0.15437549352645874, 0.15408453345298767, 0.1538231074810028, 0.15354539453983307, 0.1532745063304901, 0.15300697088241577, 0.15293535590171814, 0.15265612304210663, 0.15247125923633575, 0.15224169194698334, 0.1519773304462433, 0.15177388489246368, 0.15156571567058563, 0.15126700699329376, 0.15108005702495575, 0.15087808668613434, 0.15055647492408752, 0.15043456852436066, 0.15007400512695312, 0.14984869956970215, 0.149547278881073, 0.14935402572155, 0.149222269654274, 0.1488746702671051, 0.14876745641231537, 0.14842353761196136, 0.14817854762077332, 0.14793819189071655, 0.14776253700256348, 0.147762730717659, 0.14754444360733032, 0.14745797216892242, 0.1473771631717682, 0.14721019566059113, 0.14711779356002808, 0.14699497818946838, 0.14697961509227753, 0.1469787359237671, 0.14710555970668793, 0.14709720015525818, 0.14693880081176758, 0.147068589925766, 0.14704307913780212, 0.14702211320400238, 0.14720918238162994, 0.14723993837833405, 0.14717194437980652, 0.14712479710578918, 0.14718998968601227, 0.1468963325023651, 0.1470392942428589, 0.14711539447307587, 0.14699777960777283, 0.146967351436615, 0.14695097506046295, 0.1470741480588913, 0.14692692458629608, 0.1470405012369156, 0.14705108106136322, 0.1470554769039154, 0.14676611125469208, 0.14699283242225647, 0.14675204455852509, 0.14669887721538544, 0.1464899629354477, 0.1465197652578354, 0.14638499915599823, 0.1463848054409027, 0.14639946818351746, 0.14630472660064697, 0.14607270061969757, 0.1461385041475296, 0.1461026817560196, 0.14587876200675964, 0.1458473950624466, 0.1458633542060852, 0.14572685956954956, 0.1457405537366867, 0.14548775553703308]"
32,0.001,sigmoid,12,0.16724124550819397,"[0.08224959671497345, 0.08220424503087997, 0.08216921240091324, 0.08213775604963303, 0.08210855722427368, 0.0820811465382576, 0.08205531537532806, 0.08203098922967911, 0.08200811594724655, 0.0819866880774498, 0.08196666836738586, 0.08194806426763535, 0.08193083852529526, 0.08191494643688202, 0.08190035074949265, 0.08188696950674057, 0.08187475055456161, 0.08186361193656921, 0.081853486597538, 0.0818442851305008, 0.08183594048023224, 0.08182837069034576, 0.081821508705616, 0.08181528002023697, 0.0818096324801445, 0.08180449903011322, 0.08179982751607895, 0.0817955732345581, 0.08179167658090591, 0.08178811520338058, 0.08178484439849854, 0.08178182691335678, 0.08177904039621353, 0.081776462495327, 0.08177405595779419, 0.08177180588245392, 0.08176969736814499, 0.0817677229642868, 0.08176585286855698, 0.08176407217979431, 0.08176238089799881, 0.08176076412200928, 0.08175922930240631, 0.08175773918628693, 0.08175630867481232, 0.08175492286682129, 0.08175358921289444, 0.08175228536128998, 0.0817510113120079, 0.08174977451562881, 0.08174856752157211, 0.0817473754286766, 0.08174621313810349, 0.08174506574869156, 0.08174394071102142, 0.08174283057451248, 0.08174173533916473, 0.08174066245555878, 0.08173958212137222, 0.08173852413892746, 0.08173748105764389, 0.08173643797636032, 0.08173540979623795, 0.08173438906669617, 0.08173337578773499, 0.0817323625087738, 0.08173135668039322, 0.08173035830259323, 0.08172936737537384, 0.08172837644815445, 0.08172739297151566, 0.08172640204429626, 0.08172541856765747, 0.08172444254159927, 0.08172345906496048, 0.08172249048948288, 0.08172150701284409, 0.08172053843736649, 0.08171956241130829, 0.08171858638525009, 0.0817176103591919, 0.0817166343331337, 0.0817156583070755, 0.0817146822810173, 0.0817137062549591, 0.08171272277832031, 0.08171173930168152, 0.08171075582504272, 0.08170976489782333, 0.08170877397060394, 0.08170777559280396, 0.08170678466558456, 0.08170578628778458, 0.0817047730088234, 0.08170376718044281, 0.08170275390148163, 0.08170174062252045, 0.08170071244239807, 0.08169969171285629, 0.08169866353273392]"
32,0.001,sigmoid,24,0.1580471396446228,"[0.16715289652347565, 0.16705767810344696, 0.16698484122753143, 0.16691729426383972, 0.16685141623020172, 0.16678592562675476, 0.16672039031982422, 0.16665484011173248, 0.16658949851989746, 0.16652467846870422, 0.16646070778369904, 0.16639778017997742, 0.16633610427379608, 0.166275754570961, 0.16621679067611694, 0.16615919768810272, 0.16610296070575714, 0.16604803502559662, 0.16599437594413757, 0.16594192385673523, 0.16589060425758362, 0.16584041714668274, 0.16579127311706543, 0.1657431274652481, 0.16569596529006958, 0.16564974188804626, 0.16560442745685577, 0.16555997729301453, 0.16551637649536133, 0.16547362506389618, 0.1654316782951355, 0.16539053618907928, 0.16535015404224396, 0.1653105616569519, 0.16527169942855835, 0.16523361206054688, 0.1651962548494339, 0.16515961289405823, 0.16512370109558105, 0.1650885045528412, 0.16505399346351624, 0.1650201976299286, 0.16498710215091705, 0.16495467722415924, 0.16492293775081635, 0.16489186882972717, 0.16486147046089172, 0.1648317277431488, 0.1648026555776596, 0.16477420926094055, 0.16474643349647522, 0.16471926867961884, 0.1646927446126938, 0.1646668165922165, 0.16464152932167053, 0.16461683809757233, 0.16459275782108307, 0.16456925868988037, 0.16454634070396423, 0.16452400386333466, 0.16450221836566925, 0.1644809991121292, 0.16446031630039215, 0.16444018483161926, 0.16442057490348816, 0.16440147161483765, 0.1643829047679901, 0.16436481475830078, 0.16434721648693085, 0.1643301099538803, 0.16431346535682678, 0.16429728269577026, 0.16428156197071075, 0.16426625847816467, 0.1642514020204544, 0.16423694789409637, 0.16422292590141296, 0.1642092913389206, 0.16419604420661926, 0.16418316960334778, 0.16417068243026733, 0.16415855288505554, 0.1641467660665512, 0.16413533687591553, 0.1641242355108261, 0.16411344707012177, 0.16410298645496368, 0.16409282386302948, 0.16408297419548035, 0.1640733927488327, 0.16406409442424774, 0.16405509412288666, 0.16404633224010468, 0.16403783857822418, 0.1640295833349228, 0.1640215814113617, 0.1640138030052185, 0.16400626301765442, 0.16399893164634705, 0.1639918088912964]"
32,0.001,sigmoid,36,0.15430007874965668,"[0.15735827386379242, 0.15735816955566406, 0.15736006200313568, 0.15736348927021027, 0.15736837685108185, 0.1573747992515564, 0.15738283097743988, 0.1573924571275711, 0.1574035882949829, 0.15741613507270813, 0.15742982923984528, 0.15744447708129883, 0.1574598103761673, 0.1574755758047104, 0.1574915498495102, 0.1575075089931488, 0.15752333402633667, 0.15753887593746185, 0.15755406022071838, 0.1575688123703003, 0.1575831025838852, 0.1575968861579895, 0.1576102077960968, 0.1576230227947235, 0.15763534605503082, 0.15764722228050232, 0.15765860676765442, 0.1576695591211319, 0.15768009424209595, 0.15769021213054657, 0.15769991278648376, 0.15770922601222992, 0.15771816670894623, 0.1577267348766327, 0.1577349603176117, 0.15774282813072205, 0.15775038301944733, 0.15775758028030396, 0.15776444971561432, 0.157771036028862, 0.1577773094177246, 0.15778328478336334, 0.1577889621257782, 0.15779438614845276, 0.15779954195022583, 0.15780441462993622, 0.1578090488910675, 0.1578134447336197, 0.15781760215759277, 0.15782153606414795, 0.15782524645328522, 0.15782874822616577, 0.1578320562839508, 0.15783517062664032, 0.15783809125423431, 0.15784083306789398, 0.1578434258699417, 0.15784583985805511, 0.15784811973571777, 0.1578502207994461, 0.1578522026538849, 0.15785403549671173, 0.15785574913024902, 0.15785735845565796, 0.15785883367061615, 0.15786020457744598, 0.15786147117614746, 0.15786264836788177, 0.15786372125148773, 0.15786470472812653, 0.15786559879779816, 0.157866433262825, 0.1578671783208847, 0.15786786377429962, 0.15786847472190857, 0.15786902606487274, 0.15786951780319214, 0.15786993503570557, 0.1578703224658966, 0.15787066519260406, 0.15787094831466675, 0.15787120163440704, 0.15787139534950256, 0.1578715592622757, 0.15787167847156525, 0.1578717827796936, 0.15787182748317719, 0.15787187218666077, 0.15787187218666077, 0.15787185728549957, 0.157871812582016, 0.15787175297737122, 0.15787166357040405, 0.1578715741634369, 0.15787145495414734, 0.1578713208436966, 0.15787117183208466, 0.15787102282047272, 0.15787085890769958, 0.15787066519260406]"
32,0.001,tanh,12,0.1672026365995407,"[0.08199599385261536, 0.08194367587566376, 0.08189691603183746, 0.08186185359954834, 0.08183635771274567, 0.08181767910718918, 0.08180352300405502, 0.08179232478141785, 0.08178315311670303, 0.08177559822797775, 0.08176939934492111, 0.08176371455192566, 0.08175753057003021, 0.08175215870141983, 0.08175023645162582, 0.08174701035022736, 0.08174343407154083, 0.08174051344394684, 0.08173325657844543, 0.08172917366027832, 0.0817321315407753, 0.08173122256994247, 0.08172555267810822, 0.08172322809696198, 0.08172348886728287, 0.08171545714139938, 0.081708624958992, 0.0817098617553711, 0.08170687407255173, 0.08170357346534729, 0.08170568943023682, 0.08170665055513382, 0.08169903606176376, 0.08170164376497269, 0.08170787990093231, 0.08171366155147552, 0.08171696215867996, 0.08171746134757996, 0.08171591907739639, 0.08171529322862625, 0.08172709494829178, 0.0817343145608902, 0.08173851668834686, 0.08174852281808853, 0.08175381273031235, 0.08175135403871536, 0.08175059407949448, 0.08176121860742569, 0.08177679777145386, 0.0817866399884224, 0.08178816735744476, 0.08179119974374771, 0.08179392665624619, 0.08179951459169388, 0.08181192725896835, 0.08182378113269806, 0.08183426409959793, 0.08183874189853668, 0.08184162527322769, 0.0818461924791336, 0.0818546935915947, 0.08186842501163483, 0.0818815529346466, 0.08189050853252411, 0.08189407736063004, 0.08189839869737625, 0.0819060206413269, 0.08191590011119843, 0.08193209767341614, 0.08194112032651901, 0.08194651454687119, 0.08195195347070694, 0.0819578692317009, 0.08196522295475006, 0.0819757804274559, 0.08198976516723633, 0.08200149238109589, 0.0820019319653511, 0.08200543373823166, 0.08201345801353455, 0.08202142268419266, 0.08203528821468353, 0.08205032348632812, 0.08205683529376984, 0.0820537656545639, 0.08205860108137131, 0.08206813782453537, 0.08207454532384872, 0.0820830687880516, 0.08209957182407379, 0.08210533857345581, 0.08210144191980362, 0.082106813788414, 0.08211690932512283, 0.08212071657180786, 0.0821303054690361, 0.08214695006608963, 0.08214747905731201, 0.08214525133371353, 0.08215196430683136]"
32,0.001,tanh,24,0.15807241201400757,"[0.1681518703699112, 0.16782048344612122, 0.16748268902301788, 0.16716042160987854, 0.16687940061092377, 0.16664089262485504, 0.16643738746643066, 0.16626101732254028, 0.16610606014728546, 0.16596893966197968, 0.1658477932214737, 0.16574157774448395, 0.16564907133579254, 0.16556747257709503, 0.16547788679599762, 0.16538482904434204, 0.16533103585243225, 0.16525964438915253, 0.16518647968769073, 0.16513632237911224, 0.16510523855686188, 0.16507591307163239, 0.1650487780570984, 0.16503497958183289, 0.165020152926445, 0.1649969220161438, 0.16496430337429047, 0.16492584347724915, 0.16489307582378387, 0.1648726761341095, 0.16486118733882904, 0.16485349833965302, 0.16484282910823822, 0.1648256480693817, 0.16481296718120575, 0.1648176610469818, 0.16483429074287415, 0.16484452784061432, 0.16483528912067413, 0.164812371134758, 0.16478723287582397, 0.16475996375083923, 0.16474173963069916, 0.16474290192127228, 0.1647566556930542, 0.16476264595985413, 0.16475416719913483, 0.16474662721157074, 0.16475345194339752, 0.16477128863334656, 0.16478519141674042, 0.16478073596954346, 0.16475436091423035, 0.16472089290618896, 0.16469953954219818, 0.16469648480415344, 0.1647075116634369, 0.16471917927265167, 0.16471850872039795, 0.16471105813980103, 0.1647116094827652, 0.16472448408603668, 0.16474200785160065, 0.16474992036819458, 0.1647356003522873, 0.16470295190811157, 0.16467253863811493, 0.1646583378314972, 0.1646578013896942, 0.16465720534324646, 0.16465714573860168, 0.16465702652931213, 0.16466200351715088, 0.16466575860977173, 0.1646701842546463, 0.16467486321926117, 0.16467250883579254, 0.16465552151203156, 0.16461914777755737, 0.16457709670066833, 0.16455410420894623, 0.16455595195293427, 0.16457274556159973, 0.16458003222942352, 0.16457930207252502, 0.1645946204662323, 0.16461718082427979, 0.16463632881641388, 0.16463038325309753, 0.16459624469280243, 0.1645510196685791, 0.16449448466300964, 0.1644548922777176, 0.16444610059261322, 0.16444358229637146, 0.16445310413837433, 0.16447624564170837, 0.16449928283691406, 0.16451813280582428, 0.16452622413635254]"
32,0.001,tanh,36,0.1542532742023468,"[0.15735819935798645, 0.15738032758235931, 0.15742667019367218, 0.15748624503612518, 0.1575431227684021, 0.15759384632110596, 0.15764077007770538, 0.15768234431743622, 0.15771596133708954, 0.1577424705028534, 0.1577649563550949, 0.15778467059135437, 0.1578015834093094, 0.15781593322753906, 0.15782923996448517, 0.15783920884132385, 0.1578449159860611, 0.15785042941570282, 0.1578507423400879, 0.1578506976366043, 0.15785449743270874, 0.1578621119260788, 0.15787242352962494, 0.1578805148601532, 0.15787889063358307, 0.15787197649478912, 0.1578710973262787, 0.1578758955001831, 0.15787740051746368, 0.1578713059425354, 0.15786528587341309, 0.1578655242919922, 0.15787193179130554, 0.15787875652313232, 0.15787872672080994, 0.15787382423877716, 0.15787184238433838, 0.15787161886692047, 0.15787187218666077, 0.15787015855312347, 0.15786409378051758, 0.15785837173461914, 0.15785746276378632, 0.15786254405975342, 0.15786874294281006, 0.15786778926849365, 0.1578628122806549, 0.15786175429821014, 0.1578633040189743, 0.1578623503446579, 0.15785983204841614, 0.1578538715839386, 0.15784500539302826, 0.1578434854745865, 0.15785081684589386, 0.15785858035087585, 0.15786030888557434, 0.157856285572052, 0.1578521877527237, 0.1578526496887207, 0.15785115957260132, 0.15784651041030884, 0.1578444391489029, 0.15784026682376862, 0.15783628821372986, 0.1578371375799179, 0.1578344702720642, 0.15783147513866425, 0.1578330546617508, 0.15783751010894775, 0.15784242749214172, 0.1578444391489029, 0.15784288942813873, 0.15783874690532684, 0.15783344209194183, 0.157830148935318, 0.15782742202281952, 0.15782169997692108, 0.1578262597322464, 0.1578371375799179, 0.157838374376297, 0.15783627331256866, 0.15783347189426422, 0.15782970190048218, 0.15782460570335388, 0.1578199416399002, 0.15782010555267334, 0.15782630443572998, 0.15783126652240753, 0.1578332781791687, 0.1578398495912552, 0.15784083306789398, 0.15783484280109406, 0.1578289419412613, 0.15782570838928223, 0.15782703459262848, 0.15783311426639557, 0.1578385829925537, 0.1578408032655716, 0.15784414112567902]"
32,0.01,relu,12,0.17589840292930603,"[0.08114910125732422, 0.08099216967821121, 0.08093955367803574, 0.08048538863658905, 0.08000022917985916, 0.07937740534543991, 0.07934878021478653, 0.07945934683084488, 0.07916076481342316, 0.07894819229841232, 0.0791977196931839, 0.07883577048778534, 0.0790744200348854, 0.07933224737644196, 0.0794229507446289, 0.07964396476745605, 0.07928332686424255, 0.07974836975336075, 0.07855831831693649, 0.07919145375490189, 0.07778562605381012, 0.07921218127012253, 0.07820788025856018, 0.07846513390541077, 0.07782024145126343, 0.07980581372976303, 0.07825157791376114, 0.07955991476774216, 0.07823266088962555, 0.07894643396139145, 0.07807135581970215, 0.07916012406349182, 0.07882905006408691, 0.07963765412569046, 0.0781850591301918, 0.07833214849233627, 0.07901354134082794, 0.07889483869075775, 0.07897128164768219, 0.07898003607988358, 0.07846243679523468, 0.07781472057104111, 0.07754535228013992, 0.07772457599639893, 0.07842452079057693, 0.0804358497262001, 0.08098422735929489, 0.08013004809617996, 0.0793565958738327, 0.07745745033025742, 0.07854687422513962, 0.07710802555084229, 0.08034192025661469, 0.07806865125894547, 0.08160260319709778, 0.07836586982011795, 0.0823080837726593, 0.07769707590341568, 0.0819360688328743, 0.07771485298871994, 0.08192075788974762, 0.07775820791721344, 0.08111878484487534, 0.07787951081991196, 0.08118276298046112, 0.07793527841567993, 0.08071666210889816, 0.07799895107746124, 0.08105653524398804, 0.07802420109510422, 0.08203406631946564, 0.07807857543230057, 0.08109024167060852, 0.07863204181194305, 0.08182535320520401, 0.0779675543308258, 0.08156660944223404, 0.07789232581853867, 0.07966572046279907, 0.07852279394865036, 0.08193916082382202, 0.07804063707590103, 0.08188535273075104, 0.07831628620624542, 0.08099493384361267, 0.07789436727762222, 0.08157909661531448, 0.07766135036945343, 0.08090747147798538, 0.07754465937614441, 0.0817539393901825, 0.07777184247970581, 0.08054114878177643, 0.07841413468122482, 0.0799030214548111, 0.07764343172311783, 0.07888901978731155, 0.07764235883951187, 0.07902815192937851, 0.07797260582447052]"
